Timestamp,מה גילך?,מהו מגדרך?,מהי רמת ההשכלה שלך (שהשלמת או שבמהלכה)?,האם את.ה לומד.ת כרגע (תלמיד.ה או סטודנט.ית)?,מטריה,"אם ענית ""כן"",
מהו/היה תחום הלימודים או התואר שלך? (תשובה קצרה)",אני אוהב.ת ללמוד דברים חדשים,אני מרגיש.ה רגוע.ה,אני מרגיש.ה אופטימיות לגבי העתיד,יש לי אנרגיה עודפת,אני מתעניין.ת באנשים אחרים,אני חושב.ת בצורה צלולה,אני מרגיש.ה טוב עם עצמי,אני מרגיש.ה מאושר.ת,אני מתעניין.ת בדברים חדשים,אני מרגיש.ה בטוח.ה בעצמי,אני מסוגל.ת לקבל החלטות בעצמי,האם ההשכלה האקדמית שלך תורמת לתחושת הערך העצמי שלך?,האם הביצועים שלך בבית הספר גרמו לך אי פעם להרגיש חרדה או דיכאון?,"האם את.ה מרגיש.ה לחץ להשיג סטנדרטים אקדמיים מסוימים (למשל ציונים, דירוגים)?",האם חוויותיך הלימודיות השפיעו על בריאותך הנפשית?
6/16/2025 16:56:10,22,נקבה,יש בגרות,כן,,הנדסת תעשייה וניהול ,4,3,4,3,4,2,4,4,3,3,4,"כן, באופן חלקי","כן, לעיתים תכופות","כן, גם מעצמי ומאחרים",אני לא בטוח.ה
6/16/2025 18:12:21,21,נקבה,תואר ראשון,כן,,פסיכולוגיה,4,3,2,3,5,5,4,4,4,4,4,"כן, באופן חלקי","כן, לפעמים","כן, מעצמי","כן, לרעה"
6/17/2025 15:59:17,22,נקבה,תואר ראשון,כן,,מדעי המחשב,4,2,1,3,4,4,2,3,4,3,4,לא,בכלל לא,"כן, גם מעצמי ומאחרים",אני לא בטוח.ה
6/17/2025 16:05:48,22,זכר,יש בגרות,לא,,,5,2,2,4,5,4,4,3,5,4,4,"כן, באופן חלקי","כן, לפעמים","כן, מעצמי","כן, לרעה"
6/17/2025 16:14:04,22,נקבה,יש בגרות,לא,,,5,3,3,2,4,4,3,4,5,3,4,לא,"כן, לעיתים רחוקות","כן, גם מעצמי ומאחרים",אני לא בטוח.ה
6/18/2025 13:02:19,20,נקבה,אין בגרות,לא,,,5,4,4,3,5,5,4,4,5,4,5,לא,"כן, לעיתים רחוקות",לא מרגיש לחץ משמעותי,"כן, לרעה"
6/18/2025 13:05:34,18,זכר,יש בגרות,לא,,,5,4,5,3,5,4,4,5,5,5,5,"כן, באופן חלקי","כן, לעיתים רחוקות","כן, מעצמי",אני לא בטוח.ה
6/18/2025 13:05:47,18,זכר,תואר ראשון,כן,,מתמטיקה ומדמח,1,1,1,1,5,2,5,2,3,5,3,לא,בכלל לא,"כן, מעצמי","כן, לרעה"
6/18/2025 13:15:56,22,זכר,יש בגרות,לא,,,5,5,4,4,5,4,4,5,5,5,5,לא,"כן, לעיתים רחוקות","כן, מעצמי","כן, לחיוב"
6/18/2025 13:16:46,22,זכר,יש בגרות,לא,,,5,5,2,4,4,5,4,1,5,1,5,"כן, היא גורם מרכזי","כן, לפעמים","כן, גם מעצמי ומאחרים","כן, לרעה"
6/18/2025 13:17:23,23,זכר,תואר שני ומעלה,לא,,,5,4,5,5,5,5,4,5,5,5,4,"כן, היא גורם מרכזי",בכלל לא,"כן, גם מעצמי ומאחרים","כן, לחיוב"
6/18/2025 13:17:51,17,אחר \ מעדיפ.ה לא לומר,אין בגרות,כן,,,5,2,1,3,2,1,1,2,4,2,3,"כן, באופן חלקי","כן, לעיתים תכופות","כן, מעצמי","כן, לרעה"
6/18/2025 13:20:39,17,זכר,אין בגרות,לא,,,4,2,1,5,2,2,1,3,4,2,3,לא,"כן, לפעמים","כן, מאחרים (משפחה, מורים וכו')",אני לא בטוח.ה
6/18/2025 13:21:59,22,זכר,לימודי עתודה,לא,,,5,2,4,2,1,4,3,4,5,5,5,לא,בכלל לא,לא מרגיש לחץ משמעותי,לא השפיע
6/18/2025 13:23:51,25,זכר,השכלה על תיכונית שאינה אקדמאית,לא,,,5,1,1,1,2,1,1,1,5,3,2,"כן, באופן חלקי","כן, לפעמים","כן, מאחרים (משפחה, מורים וכו')","כן, לרעה"
6/18/2025 13:28:12,24,נקבה,תואר ראשון,כן,,פסיכולוגיה,5,5,5,4,5,4,4,5,5,4,4,"כן, באופן חלקי",בכלל לא,"כן, גם מעצמי ומאחרים","כן, לחיוב"
6/18/2025 13:30:32,25,נקבה,תואר ראשון,כן,,מדעי המחשב,5,3,4,2,4,4,4,4,5,4,5,"כן, באופן חלקי","כן, לעיתים תכופות","כן, גם מעצמי ומאחרים","כן, לרעה"
6/18/2025 13:48:11,19,זכר,יש בגרות,כן,,מכטרוניקה,3,3,3,2,3,4,4,3,3,4,4,לא,"כן, לעיתים רחוקות","כן, גם מעצמי ומאחרים",לא השפיע
